Duquesne University;8,867;PA;132;0.43;72%;0.35;49,500;0.68;1.46;A-;4.33;2.60;$322,000;0.71;$891,000;0.74;$6,880;0.20;1.65;$38,178;0.50;0.46;$41,770;0.60;1%;0.14;0.74;Thrive
Earlham College;1,074;IN;80;0.64;65%;0.48;14,800;0.27;1.39;C+;3.00;1.80;$179,000;0.05;$519,000;0.02;$10,356;0.64;0.71;$46,450;0.70;0.09;$399,629;0.09;21%;0.98;1.07;Perish
East Carolina University;22,087;NC;228;0.14;82%;0.15;60,500;0.74;1.03;A;4.66;2.80;$250,000;0.28;$644,000;0.15;$9,324;0.55;0.98;$15,327;0.09;1.13;$9,090;0.92;0%;0.00;0.92;Thrive
Eckerd College;1,940;FL;140;0.38;68%;0.44;33,100;0.54;1.35;A-;4.33;2.60;$170,000;0.03;$581,000;0.07;$7,437;0.29;0.39;$44,540;0.65;0.08;$30,058;0.69;3%;0.44;1.13;Perish
Edgewood College;1,417;WI;202;0.20;73%;0.32;9,900;0.18;0.70;B;3.66;2.20;$233,000;0.18;$654,000;0.18;$7,897;0.38;0.73;$29,500;0.37;0.11;$40,230;0.62;2%;0.31;0.93;Struggle
Elizabethtown College;1,641;PA;105;0.52;76%;0.26;14,800;0.27;1.05;B-;3.33;2.00;$271,000;0.43;$771,000;0.52;$9,703;0.58;1.53;$46,940;0.70;0.17;$49,184;0.55;2%;0.31;0.87;Struggle
Elon University;6,703;NC;84;0.63;72%;0.34;90,500;0.86;1.82;B;3.66;2.20;$245,000;0.25;$751,000;0.47;$8,508;0.44;1.16;$35,319;0.45;0.38;$38,188;0.63;0%;0.00;0.63;Struggle
Emory & Henry College;1,219;VA;148;0.35;70%;0.40;1,300;0.07;0.81;C;2.66;1.60;$220,000;0.13;$616,000;0.11;$6,743;0.18;0.42;$35,100;0.45;0.05;$73,517;0.43;0%;0.00;0.43;Struggle
Emory University;12,902;GA;21;0.91;19%;0.91;135,000;0.92;2.74;A;4.66;2.80;$396,000;0.89;$1,038,000;0.89;$40,952;0.99;2.77;$51,306;0.79;0.99;$618,933;0.05;18%;0.96;1.01;Survive
Florida Atlantic University;18,562;FL;281;0.03;59%;0.59;60,500;0.74;1.36;A-;4.33;2.60;$294,000;0.59;$715,000;0.35;$6,247;0.10;1.03;$11,054;0.01;14.95;$16,124;0.83;1%;0.14;0.97;Survive
